Player,Pos,Age,Tm,MP,FG%,3P%,eFG%,FT%,TRB,AST,STL,BLK,TOV,PTS
Donte DiVincenzo,SG,25,TOT,24,0.351,0.339,0.461,0.843,4,2.8,1.1,0.2,1.7,9
Donte DiVincenzo,SG,25,MIL,20.1,0.331,0.284,0.419,0.852,3.5,1.7,0.6,0.2,1.6,7.2
Donte DiVincenzo,SG,25,SAC,26.6,0.362,0.368,0.484,0.839,4.4,3.6,1.5,0.2,1.8,10.3
Luka Doncic,PG,22,DAL,35.4,0.457,0.353,0.529,0.744,9.1,8.7,1.2,0.6,4.5,28.4
Luguentz Dort,SF,22,OKC,32.6,0.404,0.332,0.493,0.843,4.2,1.7,0.9,0.4,1.7,17.2
Ayo Dosunmu,SG,22,CHI,27.4,0.52,0.376,0.585,0.679,2.8,3.3,0.8,0.4,1.4,8.8
Damyean Dotson,SG,27,NYK,10.5,0.5,0,0.5,0,1,0.5,0,0,0,2
Devon Dotson,PG,22,CHI,7.7,0.478,0.222,0.522,0.556,0.8,1.4,0.1,0,0.5,2.6
Sekou Doumbouya,PF,21,LAL,8,0.625,0.5,0.688,0.75,3,0,1.5,1,1,7
Jeff Dowtin,PG,24,TOT,12,0.308,0.111,0.327,1,2,1.1,0.6,0.1,0.6,2.1
Jeff Dowtin,PG,24,GSW,7,0.5,0,0.5,0,1.8,0.8,0,0.3,0.3,1.5
Jeff Dowtin,PG,24,MIL,3,0,0,0,0,0,0,0,0,0,0
Jeff Dowtin,PG,24,ORL,19.3,0.263,0.143,0.289,1,2.8,1.8,1.3,0,1,3.3
PJ Dozier,SG,25,DEN,18.9,0.364,0.313,0.439,0.769,3.5,1.6,0.6,0.3,0.7,5.4
Goran Dragic,PG,35,TOT,23.7,0.377,0.254,0.43,0.818,3.1,4.1,0.9,0.2,1.6,7.5
Goran Dragic,PG,35,TOR,18,0.382,0.286,0.441,1,2.8,1.8,1,0.2,0.2,8
Goran Dragic,PG,35,BRK,25.5,0.376,0.245,0.427,0.739,3.2,4.8,0.9,0.2,2.1,7.3
Andre Drummond,C,28,TOT,19.7,0.57,0,0.57,0.524,9.3,1.8,1.1,0.9,1.6,7.9
Andre Drummond,C,28,PHI,18.4,0.538,0,0.538,0.512,8.8,2,1.1,0.9,1.6,6.1
Andre Drummond,C,28,BRK,22.3,0.61,0,0.61,0.537,10.3,1.4,0.9,1,1.5,11.8
Chris Duarte,SG,24,IND,28,0.432,0.369,0.507,0.804,4.1,2.1,1,0.2,1.6,13.1
David Duke Jr.,PG,22,BRK,15.5,0.361,0.243,0.403,0.81,3,0.8,0.6,0.3,0.4,4.7
Kris Dunn,PG,27,POR,24,0.431,0.091,0.436,0.944,3.5,5.6,1.6,0.2,2.3,7.6
Kevin Durant,PF,33,BRK,37.2,0.518,0.383,0.57,0.91,7.4,6.4,0.9,0.9,3.5,29.9
Jaime Echenique,C,24,WAS,3,0,0,0,0,0,0,0,0,0,0
Anthony Edwards,SG,20,MIN,34.3,0.441,0.357,0.527,0.786,4.8,3.8,1.5,0.6,2.6,21.3
Carsen Edwards,SG,23,DET,19.8,0.3,0.25,0.367,1,1.5,3.5,0.5,0,1.3,5.8
Kessler Edwards,SF,21,BRK,20.6,0.412,0.353,0.502,0.842,3.6,0.6,0.6,0.5,0.9,5.9
Rob Edwards,SG,25,OKC,5.5,0.25,0.25,0.375,0,1.5,0,0,0,0.5,1.5
CJ Elleby,SF,21,POR,20.2,0.393,0.294,0.453,0.714,3.9,1.5,0.6,0.3,1,5.8
Wayne Ellington,SG,34,LAL,18.8,0.414,0.389,0.586,0.818,1.8,0.7,0.5,0.1,0.4,6.7
Joel Embiid,C,27,PHI,33.8,0.499,0.371,0.534,0.814,11.7,4.2,1.1,1.5,3.1,30.6
James Ennis III,SF,31,TOT,8,0.458,0.375,0.521,0.8,1.7,0.4,0.3,0.3,0.3,4.1
James Ennis III,SF,31,BRK,7,0.286,0.5,0.357,0,2.5,0,0.5,0.5,0,2.5
James Ennis III,SF,31,LAC,14,0.636,0.5,0.727,1,2.5,0,0.5,0.5,0.5,10
James Ennis III,SF,31,DEN,4.7,0.333,0,0.333,0,0.7,1,0,0,0.3,1.3
Drew Eubanks,C,24,TOT,17.5,0.596,0.217,0.602,0.762,5.4,1.2,0.4,0.6,1.1,7.7
Drew Eubanks,C,24,SAS,12.1,0.528,0.125,0.531,0.747,4,1,0.3,0.6,0.9,4.7
Drew Eubanks,C,24,POR,29.5,0.646,0.267,0.656,0.784,8.5,1.6,0.8,0.5,1.6,14.5
Tacko Fall,C,26,CLE,5.4,0.417,0,0.417,0.286,2.1,0.2,0,0.5,0.3,1.1
Derrick Favors,C,30,OKC,16.7,0.516,0.125,0.522,0.64,4.7,0.6,0.4,0.3,0.2,5.3
Bruno Fernando,C,23,TOT,5.1,0.655,0.5,0.664,0.625,1.8,0.2,0,0.4,0.5,2.9
Bruno Fernando,C,23,BOS,2.9,0.5,1,0.536,0.8,0.8,0.2,0,0.2,0.3,1
Bruno Fernando,C,23,HOU,9.4,0.707,0,0.707,0.579,4,0.3,0.1,0.8,0.9,6.9
Dorian Finney-Smith,PF,28,DAL,33.1,0.471,0.395,0.595,0.675,4.7,1.9,1.1,0.5,1,11
